                    Modec                                   
                    FPSO Cidade de Santos                   
                        Historical Alarm Report      Page :   1
Date : 18/06/13   Time : 20:30:20  Computer ID:FC010802 Rev:27.75.06-C1F2

Time      Date      Alarm                          State       Value        N.m3 or L      Tonnes     ID   Val 
20:10:58  18/06/13  M1 MV Communication Fail         OK     1.220682E+04   4503618.19     50486.36   1196   0
20:10:57  18/06/13  M1 MV Communication Fail       Alarm    1.219764E+04   4503616.49     50486.36   1196   1
20:09:52  18/06/13  M2 Pres Low                      OK     1.828212E+04   6683601.01     42164.66   1229   0
20:09:52  18/06/13  M2 Temp Low                      OK     4.509195E+01   6683601.01     42164.66   1225   0
20:09:33  18/06/13  M2 DP High Range Tx Fail Low     OK     3.256972E+00   6683582.66     42164.65   1242   0
20:09:32  18/06/13  M2 MV Communication Fail         OK     3.339466E+03   6683582.19     42164.65   1296   0
20:09:32  18/06/13  M2 Pres Override in Use         OFF     1.802247E+04   6683582.19     42164.65   1217   0
20:09:32  18/06/13  M2 Temp Override in Use         OFF     4.505936E+01   6683582.19     42164.65   1216   0
20:09:32  18/06/13  M2 DP High Range Tx Fail Low   Alarm     .000000E+00   6683581.73     42164.65   1242   1
20:09:31  18/06/13  M2 Pres Override in Use          ON     1.807282E+04   6683581.26     42164.65   1217   1
20:09:31  18/06/13  M2 Temp Override in Use          ON     4.521048E+01   6683581.26     42164.65   1216   1
20:09:31  18/06/13  M2 Pres Low                    Alarm     .000000E+00   6683581.26     42164.65   1229   1
20:09:31  18/06/13  M2 Temp Low                    Alarm     .000000E+00   6683581.26     42164.65   1225   1
20:09:31  18/06/13  M2 MV Communication Fail       Alarm    3.329841E+03   6683580.80     42164.65   1296   1
20:07:50  18/06/13  M1 DP High                       OK     3.114191E+01   4502978.06     50485.73   1180   0
20:06:10  18/06/13  M1 DP High                     Alarm    3.810590E+01   4502607.74     50485.36   1180   1
20:05:20  18/06/13  M2 Pres Low                      OK     1.823227E+04   6683343.56     42164.47   1229   0
20:05:20  18/06/13  M2 Temp Low                      OK     4.522195E+01   6683343.56     42164.47   1225   0
20:05:20  18/06/13  M1 DP Low                        OK     3.682627E+01   4502429.47     50485.18   1179   0
20:05:20  18/06/13  M1 Pres Low                      OK     9.295724E+02   4502429.47     50485.18   1129   0
20:05:20  18/06/13  M1 Temp Low                      OK     4.654855E+01   4502429.47     50485.18   1125   0
20:05:01  18/06/13  M2 DP High Range Tx Fail Low     OK     3.363015E+00   6683325.23     42164.46   1242   0
20:05:01  18/06/13  M1 DP High Range Tx Fail Low     OK     3.330739E+01   4502356.62     50485.11   1142   0
20:05:01  18/06/13  M1 DP Low                      Alarm    3.330739E+01   4502356.62     50485.11   1179   1
20:05:00  18/06/13  M2 MV Communication Fail         OK     3.386243E+03   6683324.76     42164.46   1296   0
20:05:00  18/06/13  M2 Pres Override in Use         OFF     1.819478E+04   6683324.76     42164.46   1217   0
20:05:00  18/06/13  M2 Temp Override in Use         OFF     4.522195E+01   6683324.76     42164.46   1216   0
20:05:00  18/06/13  M1 MV Communication Fail         OK     1.081872E+04   4502354.86     50485.11   1196   0
